Country Name,Gender,Population,Continent,Income,Probability of Survival to Age 5,yearsOfSchool,Harmonized Test Scores,LearningNullAdjusted Years of School,Fraction of Children Under 5 Not Stunted,adultSurvivalRate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Jamaica,Female,2961161,North America,Upper middle income,0.99,11.6,404,7.5,0.95,0.9,0.54,0.56,0.58
Japan,Female,126476458,Asia,High income,1,Null,539,Null,Null,0.96,Null,Null,Null
Jordan,Female,10203140,Asia,Upper middle income,0.99,11.4,444,8.1,Null,0.91,0.57,0.58,0.59
Kazakhstan,Female,18776707,Asia,Upper middle income,0.99,13.8,422,9.3,0.92,0.91,0.64,0.65,0.66
Kenya,Female,53771300,Africa,Lower middle income,0.96,11.4,Null,Null,0.78,0.81,Null,Null,Null
Kiribati,Female,119446,Oceania,Lower middle income,0.95,11.8,426,8.1,Null,0.85,0.5,0.54,0.57
"Korea, Rep.",Female,51640000,Asia,High income,1,13.6,540,11.7,Null,0.97,0.8,0.81,0.83
Kosovo,Female,1932774,Europe,Upper middle income,0.99,13.2,378,8,Null,0.93,0.58,0.58,0.59
Kuwait,Female,4270563,Asia,High income,0.99,12.5,398,8,Null,0.96,0.59,0.6,0.61
Kyrgyz Republic,Female,6524191,Asia,Lower middle income,0.98,12.9,426,8.8,0.89,0.91,0.61,0.62,0.63
Lao PDR,Female,7275556,Asia,Lower middle income,0.96,10.5,374,6.3,0.68,0.85,0.45,0.47,0.48
Latvia,Female,1886202,Europe,High income,1,13.7,510,11.2,Null,0.91,0.74,0.75,0.76
Lebanon,Female,6825442,Asia,Upper middle income,0.99,Null,395,Null,Null,0.95,Null,Null,Null
Lesotho,Female,2142252,Africa,Lower middle income,0.93,10.4,Null,Null,0.67,0.59,Null,Null,Null
Liberia,Female,5057677,Africa,Low income,0.93,4.2,328,2.2,0.72,0.8,0.31,0.32,0.34
Lithuania,Female,2722291,Europe,High income,1,13.9,504,11.2,Null,0.92,0.75,0.76,0.77
Luxembourg,Female,625976,Europe,High income,1,12.5,497,9.9,Null,0.96,0.69,0.7,0.71
"Macao SAR, China",Female,649342,Asia,High income,0.99,13.1,564,11.8,Null,0.98,0.81,0.82,0.83
Madagascar,Female,27691019,Africa,Low income,0.95,8.6,352,4.8,0.62,0.82,0.38,0.4,0.42
Malawi,Female,19129955,Africa,Low income,0.96,9.6,Null,Null,0.63,0.79,Null,Null,Null
Malaysia,Female,32365998,Asia,Upper middle income,0.99,12.7,452,9.2,0.79,0.92,0.62,0.63,0.65
Mali,Female,20250834,Africa,Low income,0.91,4.9,307,2.4,0.74,0.76,0.31,0.32,0.33
Malta,Female,441539,Europe,High income,0.99,13.5,489,10.6,Null,0.97,0.73,0.74,0.75
"Marshall Islands, Rep.",Female,59194,Oceania,Upper middle income,0.97,9.8,383,6,0.7,0.73,0.42,0.44,0.47
Mauritania,Female,4649660,Africa,Lower middle income,0.93,7.9,343,4.4,0.8,0.83,0.36,0.39,0.42
Mauritius,Female,1271767,Africa,High income,0.99,12.7,Null,Null,Null,0.91,Null,Null,Null
Mexico,Female,128932753,North America,Upper middle income,0.99,13,428,8.9,0.91,0.9,0.62,0.63,0.64
"Micronesia, Fed. Sts.",Female,115021,Asia,Lower middle income,0.97,11.9,395,7.5,Null,0.86,0.49,0.53,0.55
Moldova,Female,4033963,Europe,Lower middle income,0.99,11.8,448,8.5,0.93,0.91,0.6,0.61,0.62
Mongolia,Female,3278292,Asia,Lower middle income,0.99,13.2,434,9.2,0.92,0.88,0.62,0.64,0.65
Montenegro,Female,628062,Europe,Upper middle income,1,12.6,441,8.9,0.92,0.93,0.63,0.64,0.65
Morocco,Female,36910558,Africa,Lower middle income,0.98,10.5,386,6.5,0.87,0.94,0.5,0.52,0.53
Mozambique,Female,31255435,Africa,Low income,0.93,Null,371,Null,0.62,0.74,Null,Null,Null
Myanmar,Female,54410000,Asia,Lower middle income,0.96,10,431,6.9,0.72,0.85,0.48,0.49,0.51
Namibia,Female,2540916,Africa,Upper middle income,0.96,9.7,Null,Null,0.8,0.76,Null,Null,Null
Nauru,Female,10834,Oceania,High income,0.97,11.6,368,6.8,Null,0.95,0.51,0.53,0.55
Nepal,Female,29136808,Asia,Lower middle income,0.97,12.2,Null,Null,0.64,0.87,Null,Null,Null
Netherlands,Female,17134873,Europe,High income,1,13.9,526,11.7,Null,0.96,0.8,0.81,0.82
New Zealand,Female,4822233,Oceania,High income,0.99,13.8,523,11.5,Null,0.95,0.78,0.79,0.8
Nicaragua,Female,6624554,North America,Lower middle income,0.98,11.1,392,7,0.84,0.9,0.52,0.53,0.54
Niger,Female,24206636,Africa,Low income,0.92,5,302,2.4,0.53,0.78,0.29,0.31,0.33
Nigeria,Female,206139587,Africa,Lower middle income,0.89,10.1,308,5,0.66,0.68,0.34,0.37,0.39
North Macedonia,Female,2083380,Europe,Upper middle income,0.99,11,427,7.5,0.96,0.94,0.57,0.57,0.58
Norway,Female,5421242,Europe,High income,1,13.7,525,11.5,Null,0.96,0.78,0.79,0.8
Oman,Female,5106622,Asia,High income,0.99,13,444,9.2,Null,0.94,0.63,0.65,0.66
Pakistan,Female,220892331,Asia,Lower middle income,0.94,8.7,343,4.8,0.63,0.86,0.39,0.4,0.41
Palau,Female,18092,Oceania,High income,0.98,11.8,478,9,Null,0.89,0.59,0.62,0.63
Panama,Female,4314768,North America,High income,0.99,10.9,378,6.6,Null,0.92,0.51,0.52,0.53
Papua New Guinea,Female,8947027,Oceania,Lower middle income,0.96,9.8,367,5.8,0.52,0.81,0.41,0.43,0.44
Paraguay,Female,7132530,South America,Upper middle income,0.98,11.3,383,6.9,0.96,0.88,0.51,0.53,0.55
Peru,Female,32971846,South America,Upper middle income,0.99,12.9,412,8.5,0.88,0.92,0.59,0.6,0.62
Philippines,Female,109581085,Asia,Lower middle income,0.97,13.2,368,7.8,0.71,0.87,0.52,0.54,0.55
Poland,Female,37846605,Europe,High income,1,13.5,535,11.5,Null,0.94,0.78,0.79,0.8
Portugal,Female,10196707,Europe,High income,1,13.8,510,11.3,Null,0.96,0.77,0.78,0.79
Qatar,Female,2881060,Asia,High income,0.99,13,450,9.3,Null,0.97,0.66,0.67,0.68
Romania,Female,19237682,Europe,High income,0.99,11.9,447,8.5,Null,0.93,0.6,0.61,0.62
Russian Federation,Female,145934460,Europe,Upper middle income,0.99,13.7,501,11,Null,0.89,0.72,0.73,0.74
Rwanda,Female,12952209,Africa,Low income,0.97,7.1,365,4.1,0.67,0.84,0.38,0.39,0.41
Samoa,Female,198410,Oceania,Upper middle income,0.99,12.6,387,7.8,0.96,0.92,0.57,0.58,0.59
Saudi Arabia,Female,34813867,Asia,High income,0.99,12.3,416,8.2,Null,0.93,0.58,0.6,0.61
Senegal,Female,16743930,Africa,Lower middle income,0.96,7.9,408,5.2,0.83,0.86,0.42,0.44,0.46
Serbia,Female,6804596,Europe,Upper middle income,0.99,13.4,464,9.9,0.95,0.93,0.68,0.7,0.71
Seychelles,Female,98340,Africa,High income,0.99,13.4,Null,Null,Null,0.9,Null,Null,Null
Sierra Leone,Female,7976985,Africa,Low income,0.9,9.7,314,4.9,0.73,0.65,0.35,0.37,0.39
Singapore,Female,5850343,Asia,High income,1,13.9,578,12.9,Null,0.97,0.88,0.89,0.9
Slovak Republic,Female,5459643,Europe,High income,0.99,12.6,491,9.9,Null,0.94,0.68,0.69,0.7
Slovenia,Female,2078932,Europe,High income,1,13.7,530,11.6,Null,0.96,0.79,0.8,0.81
Solomon Islands,Female,686878,Oceania,Lower middle income,0.98,8.5,363,4.9,0.7,0.88,0.42,0.43,0.45
South Africa,Female,59308690,Africa,Upper middle income,0.97,10.1,359,5.8,0.75,0.76,0.43,0.45,0.46
South Sudan,Female,11193729,Africa,Low income,0.91,3.9,Null,Null,0.71,0.7,Null,Null,Null
Spain,Female,46754783,Europe,High income,1,13.1,504,10.6,Null,0.97,0.73,0.74,0.75
Sri Lanka,Female,21413250,Asia,Lower middle income,0.99,13.3,Null,Null,0.83,0.94,Null,Null,Null
St. Kitts and Nevis,Female,53192,North America,High income,0.99,12.6,415,8.4,Null,0.92,0.59,0.6,0.61
St. Lucia,Female,183629,North America,Upper middle income,0.99,12.9,426,8.8,0.99,0.9,0.61,0.63,0.64
St. Vincent and the Grenadines,Female,110947,North America,Upper middle income,0.99,12.9,397,8.2,Null,0.88,0.56,0.57,0.58
Sudan,Female,43849269,Africa,Low income,0.94,6.9,389,4.3,0.64,0.82,0.37,0.39,0.4
Sweden,Female,10099270,Europe,High income,1,13.9,527,11.7,Null,0.96,0.8,0.81,0.82
Switzerland,Female,8654618,Europe,High income,1,13.2,519,11,Null,0.97,0.75,0.76,0.78
Tajikistan,Female,9537642,Asia,Low income,0.97,10.4,Null,Null,0.83,0.91,Null,Null,Null
Tanzania,Female,56320000,Africa,Lower middle income,0.95,7.3,395,4.6,0.7,0.81,0.39,0.4,0.41
Thailand,Female,69799978,Asia,Upper middle income,0.99,12.7,439,8.9,0.91,0.92,0.62,0.63,0.64
Timor-Leste,Female,1318000,Asia,Lower middle income,0.96,10.9,378,6.6,0.57,0.88,0.45,0.47,0.49
Togo,Female,8278737,Africa,Low income,0.94,9.4,383,5.8,0.77,0.76,0.4,0.43,0.45
Tonga,Female,105697,Oceania,Upper middle income,0.98,11.8,399,7.6,0.92,0.88,0.54,0.56,0.57
Trinidad and Tobago,Female,1399491,North America,High income,0.98,Null,471,Null,Null,0.89,Null,Null,Null
Tunisia,Female,11818618,Africa,Lower middle income,0.98,11.2,386,6.9,0.91,0.93,0.53,0.54,0.55
Turkey,Female,84339067,Asia,Upper middle income,0.99,12,483,9.3,0.95,0.94,0.65,0.66,0.67
Tuvalu,Female,11792,Oceania,Upper middle income,0.98,11,361,6.4,Null,0.81,0.45,0.47,0.49
Uganda,Female,45741000,Africa,Low income,0.96,Null,Null,Null,0.73,0.77,Null,Null,Null
Ukraine,Female,43733759,Europe,Lower middle income,0.99,13,482,10,Null,0.9,0.66,0.68,0.69
United Arab Emirates,Female,9890400,Asia,High income,0.99,13.2,463,9.8,Null,0.96,0.68,0.69,0.7
United Kingdom,Female,67886004,Europe,High income,1,13.9,521,11.6,Null,0.95,0.78,0.79,0.8
United States,Female,331002647,North America,High income,0.99,12.9,514,10.6,Null,0.92,0.71,0.72,0.73
Uruguay,Female,3473727,South America,High income,0.99,12.5,439,8.8,Null,0.92,0.61,0.62,0.63
Uzbekistan,Female,33469199,Asia,Lower middle income,0.98,12,474,9.1,0.9,0.9,0.61,0.63,0.65
Vanuatu,Female,307150,Oceania,Lower middle income,0.98,10.1,356,5.8,0.76,0.9,0.45,0.47,0.48
Vietnam,Female,97338583,Asia,Lower middle income,0.98,13.2,524,11,0.77,0.92,0.71,0.73,0.75
West Bank and Gaza,Female,4430000,Asia,Lower middle income,0.98,12.5,424,8.5,0.93,0.91,0.59,0.61,0.62
"Yemen, Rep.",Female,29825968,Asia,Low income,0.95,7.4,322,3.8,0.55,0.83,0.35,0.37,0.38
Zambia,Female,18383956,Africa,Lower middle income,0.95,8.8,Null,Null,0.69,0.78,Null,Null,Null
Zimbabwe,Female,14862927,Africa,Lower middle income,0.96,11,Null,Null,0.8,0.67,Null,Null,Null
Afghanistan,Male,38928341,Asia,Low income,0.93,9.7,358,5.5,0.62,0.77,0.39,0.41,0.43
Albania,Male,2877800,Europe,Upper middle income,0.99,12.6,424,8.5,0.88,0.91,0.6,0.61,0.62
Algeria,Male,43851043,Africa,Lower middle income,0.98,11.5,366,6.7,0.87,0.9,0.51,0.52,0.52
Angola,Male,32866268,Africa,Lower middle income,0.92,9.2,327,4.8,0.59,0.68,0.33,0.37,0.4
Antigua and Barbuda,Male,97928,North America,High income,0.99,12.7,397,8,Null,0.87,0.55,0.57,0.58
Argentina,Male,45195777,South America,Upper middle income,0.99,12.7,410,8.3,0.92,0.85,0.58,0.59,0.6
Armenia,Male,2963234,Europe,Upper middle income,0.99,11.1,439,7.8,0.89,0.83,0.54,0.56,0.57
Australia,Male,25499881,Oceania,High income,1,13.6,512,11.1,Null,0.93,0.75,0.76,0.77
Austria,Male,9006400,Europe,High income,1,13.4,506,10.8,Null,0.92,0.72,0.73,0.75
Azerbaijan,Male,10139175,Europe,Upper middle income,0.98,12.5,412,8.2,0.82,0.85,0.55,0.57,0.58
Bahrain,Male,1701583,Asia,High income,0.99,12.7,434,8.8,Null,0.93,0.61,0.62,0.63
Bangladesh,Male,164689383,Asia,Lower middle income,0.97,9.8,367,5.8,0.69,0.85,0.44,0.45,0.46
Belarus,Male,9449321,Europe,Upper middle income,1,13.8,486,10.8,Null,0.78,0.65,0.67,0.68
Belgium,Male,11589616,Europe,High income,1,13.5,516,11.1,Null,0.91,0.74,0.75,0.76
Benin,Male,12123198,Africa,Lower middle income,0.9,9.6,384,5.9,Null,0.74,0.37,0.4,0.43
Bhutan,Male,771612,Asia,Lower middle income,0.97,9.8,389,6.1,0.82,0.81,0.44,0.47,0.49
Bosnia and Herzegovina,Male,3280815,Europe,Upper middle income,0.99,11.7,412,7.7,0.91,0.89,0.56,0.57,0.58
Botswana,Male,2351625,Africa,Upper middle income,0.96,7.7,381,4.7,Null,0.75,0.36,0.39,0.41
Brazil,Male,212559409,South America,Upper middle income,0.98,Null,410,Null,Null,0.81,Null,Null,Null
Brunei Darussalam,Male,437479,Asia,High income,0.99,13,430,9,0.8,0.86,0.6,0.61,0.62
Bulgaria,Male,6948445,Europe,Upper middle income,0.99,12.4,432,8.6,0.93,0.82,0.58,0.6,0.61
Burkina Faso,Male,20903278,Africa,Low income,0.92,7,407,4.6,0.72,0.74,0.36,0.38,0.4
Burundi,Male,11890781,Africa,Low income,0.94,7.4,415,4.9,0.42,0.69,0.35,0.37,0.39
Cambodia,Male,16718971,Asia,Lower middle income,0.97,9.3,Null,Null,0.67,0.8,Null,Null,Null
Cameroon,Male,26545864,Africa,Lower middle income,0.92,9.1,376,5.5,0.69,0.69,0.37,0.4,0.42
Canada,Male,37742157,North America,High income,0.99,13.7,530,11.6,Null,0.93,0.78,0.79,0.79
Central African Republic,Male,4829764,Africa,Low income,0.88,5.3,Null,Null,0.57,0.55,Null,Null,Null
Chad,Male,16425859,Africa,Low income,0.87,6.2,338,3.4,0.59,0.62,0.29,0.31,0.33
Chile,Male,19116209,South America,High income,0.99,13,451,9.3,Null,0.89,0.62,0.64,0.65
China,Male,1439323774,Asia,Upper middle income,0.99,13.1,441,9.2,0.92,0.91,0.63,0.65,0.66
Colombia,Male,50882884,South America,Upper middle income,0.98,12.8,423,8.6,0.86,0.85,0.58,0.59,0.61
Comoros,Male,869595,Africa,Lower middle income,0.93,8,400,5.1,0.67,0.76,0.35,0.4,0.43
"Congo, Dem. Rep.",Male,5518092,Africa,Low income,0.91,9.5,312,4.7,0.55,0.73,0.34,0.37,0.39
"Congo, Rep.",Male,5518000,Africa,Lower middle income,0.95,8.7,372,5.2,0.78,0.72,0.38,0.41,0.43
Costa Rica,Male,5094114,North America,Upper middle income,0.99,13,431,9,Null,0.89,0.61,0.62,0.63
Croatia,Male,4105268,Europe,High income,0.99,13.2,483,10.2,Null,0.88,0.67,0.68,0.69
Cyprus,Male,875899,Europe,High income,1,13.6,504,10.9,Null,0.94,0.74,0.75,0.76
Czech Republic,Male,10708982,Europe,High income,1,13.5,507,11,Null,0.9,0.72,0.73,0.74
C̫te d'Ivoire,Male,26380000,Africa,Lower middle income,0.91,8.5,375,5.1,0.77,0.64,0.36,0.38,0.4
Denmark,Male,5792203,Europe,High income,1,13.3,513,10.9,Null,0.92,0.73,0.74,0.75
Dominica,Male,71991,North America,Upper middle income,0.96,12.2,393,7.7,Null,0.83,0.5,0.52,0.53
Dominican Republic,Male,10847904,North America,Upper middle income,0.97,11.7,338,6.3,0.92,0.8,0.47,0.48,0.5
Ecuador,Male,17643060,South America,Upper middle income,0.98,12.7,419,8.5,0.74,0.84,0.57,0.58,0.59
"Egypt, Arab Rep.",Male,102334403,Africa,Lower middle income,0.98,11.4,344,6.3,0.76,0.82,0.46,0.48,0.49
El Salvador,Male,6486201,North America,Lower middle income,0.98,10.9,433,7.5,0.85,0.73,0.5,0.52,0.54
Estonia,Male,1326539,Europe,High income,1,13.4,539,11.6,Null,0.85,0.73,0.75,0.76
Eswatini,Male,1160164,Africa,Lower middle income,0.94,6.1,Null,Null,0.71,0.53,Null,Null,Null
Ethiopia,Male,114963583,Africa,Low income,0.94,8.1,352,4.6,0.6,0.77,0.37,0.38,0.39
Fiji,Male,896444,Oceania,Upper middle income,0.97,11.2,368,6.6,0.91,0.74,0.47,0.49,0.5
Finland,Male,5540718,Europe,High income,1,13.7,520,11.4,Null,0.91,0.75,0.76,0.78
France,Male,65273512,Europe,High income,1,13.8,507,11.2,Null,0.9,0.73,0.75,0.76
Gabon,Male,2225728,Africa,Upper middle income,0.95,7.9,458,5.8,0.81,0.76,0.41,0.44,0.47
"Gambia, The",Male,2416664,Africa,Low income,0.94,9.2,352,5.2,0.78,0.72,0.38,0.41,0.43
Georgia,Male,3989175,Europe,Upper middle income,0.99,12.8,391,8,Null,0.78,0.52,0.53,0.54
Germany,Male,83783945,Europe,High income,1,13.3,514,11,Null,0.91,0.72,0.74,0.75
Ghana,Male,31072945,Africa,Lower middle income,0.95,12,308,5.9,0.81,0.75,0.43,0.44,0.46
Greece,Male,10423056,Europe,High income,1,13.3,460,9.8,Null,0.91,0.66,0.67,0.68
Grenada,Male,112519,North America,Upper middle income,0.98,12.9,380,7.9,Null,0.82,0.52,0.54,0.55
Guatemala,Male,17915567,North America,Upper middle income,0.97,9.7,402,6.3,0.53,0.8,0.44,0.45,0.46
Guinea,Male,13132792,Africa,Low income,0.89,7.8,417,5.2,0.66,0.74,0.36,0.38,0.4
Guyana,Male,786559,South America,Upper middle income,0.97,12.1,338,6.5,0.87,0.73,0.46,0.48,0.49
Haiti,Male,11402533,North America,Low income,0.93,11.3,333,6,0.76,0.75,0.41,0.43,0.45
Honduras,Male,9904608,North America,Lower middle income,0.98,9.4,401,6,0.76,0.83,0.45,0.47,0.48
"Hong Kong SAR, China",Male,7482000,Asua,High income,0.99,13.3,541,11.5,Null,0.94,0.77,0.78,0.79
Hungary,Male,9660350,Europe,High income,1,13,494,10.2,Null,0.83,0.65,0.66,0.67
Iceland,Male,341250,Europe,High income,1,13.4,488,10.4,Null,0.94,0.72,0.72,0.73
India,Male,1380004385,Asia,Lower middle income,0.96,11,399,7.1,0.65,0.8,0.48,0.49,0.49
Indonesia,Male,273523621,Asia,Upper middle income,0.97,12.3,388,7.6,0.72,0.82,0.51,0.52,0.54
"Iran, Islamic Rep.",Male,83992953,Asia,Upper middle income,0.98,11.9,420,8,Null,0.92,0.56,0.58,0.59
Iraq,Male,40222503,Asia,Upper middle income,0.97,6.7,353,3.8,0.88,0.82,0.39,0.4,0.4
Ireland,Male,4937796,Europe,High income,1,13.9,518,11.5,Null,0.93,0.77,0.78,0.79
Israel,Male,8655541,Asia,High income,1,13.6,467,10.2,Null,0.94,0.69,0.7,0.72
Italy,Male,60461828,Europe,High income,1,13.2,492,10.4,Null,0.94,0.71,0.72,0.73
Jamaica,Male,2961161,North America,Upper middle income,0.98,11.2,372,6.7,0.93,0.83,0.49,0.51,0.53
Japan,Male,126476458,Asia,High income,1,Null,537,Null,Null,0.93,Null,Null,Null
